Approach,Size,Difficulty,TimeStep,NumChanges,AdaptTime,SuccessRate,AvgPathLength
singleAgent,50,Hard,45,1,0.00618443,0.99416,10.1495
singleAgent,50,Hard,46,1,0.00615076,0.99416,10.1501
singleAgent,50,Hard,47,1,0.0101855,0.99416,10.1527
singleAgent,50,Hard,48,1,0.0654984,0.99416,10.1527
singleAgent,50,Hard,49,1,0.0211747,0.99416,10.1547
singleAgent,50,Hard,50,1,0.00641089,0.99416,10.1521
singleAgent,50,Hard,51,1,0.00267008,0.994809,10.152
singleAgent,50,Hard,52,1,0.997459,0.994809,10.1461
singleAgent,50,Hard,53,1,3.00026,0.994809,10.0789
singleAgent,50,Hard,54,1,0.00609471,0.994809,10.0828
singleAgent,50,Hard,55,1,0.00970191,0.994809,10.0841
singleAgent,50,Hard,56,1,0.00663413,0.994809,10.0861
singleAgent,50,Hard,57,1,0.0202499,0.994809,10.0868
singleAgent,50,Hard,58,1,1.56701,0.994809,10.0913
singleAgent,50,Hard,59,1,0.00361618,0.99416,10.0933
singleAgent,50,Hard,60,1,0.00974435,0.99416,10.094
singleAgent,50,Hard,61,1,0.00351807,0.99416,10.0933
singleAgent,50,Hard,62,1,1.64835,0.99416,10.0124
singleAgent,50,Hard,63,1,0.00389833,0.99416,10.0137
singleAgent,50,Hard,64,1,0.00252131,0.99416,10.0209
singleAgent,50,Hard,65,1,0.726657,0.99416,10.0261
singleAgent,50,Hard,66,1,0.487001,0.994809,10.0228
singleAgent,50,Hard,67,1,0.00228907,0.994809,10.0228
singleAgent,50,Hard,68,1,0.00904039,0.994809,10.0228
singleAgent,50,Hard,69,1,1.44193,0.995457,10.028
singleAgent,50,Hard,70,1,2.09198,0.995457,10.101
singleAgent,50,Hard,71,1,0.00223379,0.995457,10.101
singleAgent,50,Hard,72,1,0.00211443,0.995457,10.101
singleAgent,50,Hard,73,1,2.74706,0.990266,10.0957
singleAgent,50,Hard,74,1,0.00401381,0.990266,10.097
singleAgent,50,Hard,75,4,1.47391,0.989617,10.0977
singleAgent,50,Hard,76,1,0.0089713,0.989617,10.103
singleAgent,50,Hard,77,1,2.14228,0.989617,10.1475
singleAgent,50,Hard,78,2,0.985237,0.988968,10.1476
singleAgent,50,Hard,79,1,0.00925469,0.988968,10.1503
singleAgent,50,Hard,80,1,0.382868,0.988968,10.1529
singleAgent,50,Hard,81,6,1.44246,0.989617,10.1016
singleAgent,50,Hard,82,1,0.00317169,0.989617,10.103
singleAgent,50,Hard,83,1,2.2284,0.989617,10.2479
singleAgent,50,Hard,84,1,0.425029,0.989617,10.24
singleAgent,50,Hard,85,1,1.24406,0.988968,10.2375
singleAgent,50,Hard,86,1,0.0131915,0.988968,10.2441
singleAgent,50,Hard,87,1,0.00275757,0.988968,10.2454
singleAgent,50,Hard,88,1,0.00235082,0.988968,10.2467
singleAgent,50,Hard,89,2,0.58154,0.988319,10.2508
singleAgent,50,Hard,90,1,0.00358097,0.988319,10.2521
singleAgent,50,Hard,91,1,0.770106,0.988319,10.2528
singleAgent,50,Hard,92,1,0.015385,0.988319,10.2541
singleAgent,50,Hard,93,1,0.00275322,0.988319,10.2548
singleAgent,50,Hard,94,1,0.00299254,0.98767,10.2595
singleAgent,50,Hard,95,1,0.00917663,0.98767,10.2602
singleAgent,50,Hard,96,2,0.00526554,0.98767,10.2602
singleAgent,50,Hard,97,1,0.0052364,0.98767,10.2608
singleAgent,50,Hard,98,1,0.00594264,0.98767,10.2628
singleAgent,50,Hard,99,1,0.0360989,0.98767,10.2654
singleAgent,50,Hard,100,1,0.00597992,0.98767,10.2674
fedAsynQ_EqAvg,50,Hard,0,0,0,0.992213,9.36102
fedAsynQ_EqAvg,50,Hard,1,1,0.200619,0.992213,9.36233
