Approach,Size,Difficulty,TimeStep,NumChanges,AdaptTime,SuccessRate,AvgPathLength
A* Static,20,Hard,38,2,0,0.371041,5.90244
A* Static,20,Hard,39,1,0,0.366516,5.8642
A* Static,20,Hard,40,1,0,0.366516,5.8642
A* Static,20,Hard,41,1,0,0.366516,5.8642
A* Static,20,Hard,42,1,0,0.366516,5.8642
A* Static,20,Hard,43,1,0,0.371041,5.85366
A* Static,20,Hard,44,1,0,0.361991,5.8875
A* Static,20,Hard,45,1,0,0.361991,5.8875
A* Static,20,Hard,46,1,0,0.339367,6.01333
A* Static,20,Hard,47,1,0,0.334842,6.05405
A* Static,20,Hard,48,1,0,0.330317,6.0411
A* Static,20,Hard,49,1,0,0.330317,6.0411
A* Static,20,Hard,50,1,0,0.330317,6.0411
A* Oracle,20,Hard,0,0,0,0.941176,6.85096
A* Oracle,20,Hard,1,1,0.0183624,0.941176,6.86058
A* Oracle,20,Hard,2,1,0.0185697,0.941176,6.86538
A* Oracle,20,Hard,3,1,0.0191993,0.954751,6.93365
A* Oracle,20,Hard,4,1,0.0190165,0.954751,6.80095
A* Oracle,20,Hard,5,1,0.0190739,0.954751,6.80095
A* Oracle,20,Hard,6,1,0.0190446,0.868778,6.8125
A* Oracle,20,Hard,7,2,0.0189538,0.855204,6.71429
A* Oracle,20,Hard,8,1,0.0200262,0.873303,6.8342
A* Oracle,20,Hard,9,1,0.0204043,0.873303,6.8342
A* Oracle,20,Hard,10,1,0.0201168,0.873303,6.84456
A* Oracle,20,Hard,11,1,0.0199584,0.873303,6.84456
A* Oracle,20,Hard,12,1,0.0203275,0.873303,6.83938
A* Oracle,20,Hard,13,1,0.0199981,0.873303,6.83938
A* Oracle,20,Hard,14,1,0.0202391,0.873303,6.82902
A* Oracle,20,Hard,15,1,0.0198943,0.873303,6.82383
A* Oracle,20,Hard,16,1,0.0198495,0.873303,6.82902
A* Oracle,20,Hard,17,1,0.0199668,0.873303,6.85492
A* Oracle,20,Hard,18,1,0.020086,0.873303,6.85492
A* Oracle,20,Hard,19,1,0.0202453,0.873303,6.85492
A* Oracle,20,Hard,20,1,0.0204969,0.873303,6.89119
