Approach,Size,Difficulty,Changes,InitialTime,AdaptTime,SuccessRate,AvgPathLength
Local,50,Hard,3,16.4168,1.08109,0.949762,8.07005
Local,50,Hard,4,16.4168,1.98286,0.948405,7.91052
Local,50,Hard,5,16.4168,2.70896,0.966056,7.82853
Local,50,Hard,10,16.4168,5.89354,0.962661,7.77645
Hierarchy,50,Hard,0,18.422,0,0.97556,7.67223
Hierarchy,50,Hard,1,18.422,0.424911,0.97556,7.6604
Hierarchy,50,Hard,2,18.422,2.1624,0.980312,7.54709
Hierarchy,50,Hard,3,18.422,2.42488,0.951799,7.57489
Hierarchy,50,Hard,4,18.422,3.76525,0.97556,7.54767
Hierarchy,50,Hard,5,18.422,4.15028,0.97556,7.52401
Hierarchy,50,Hard,10,18.422,7.63946,0.976239,7.55702
A* Oracle,100,Easy,0,1.31175,0,0.999877,4.43758
A* Oracle,100,Easy,1,1.31175,1.30964,0.999877,4.43783
A* Oracle,100,Easy,2,1.31175,1.31159,0.999877,4.43734
A* Oracle,100,Easy,3,1.31175,1.30977,0.999877,4.43808
A* Oracle,100,Easy,4,1.31175,1.35226,0.999877,4.43685
A* Oracle,100,Easy,5,1.31175,1.3248,0.999877,4.43758
A* Oracle,100,Easy,10,1.31175,1.31783,0.999877,4.43709
A* Static,100,Easy,0,1.31186,0,0.999877,4.43758
A* Static,100,Easy,1,1.31186,0.00363351,0.9973,4.43958
A* Static,100,Easy,2,1.31186,0.00460154,0.999632,4.43683
A* Static,100,Easy,3,1.31186,0.00405974,0.9973,4.43047
A* Static,100,Easy,4,1.31186,0.00385849,0.998282,4.43472
A* Static,100,Easy,5,1.31186,0.00381356,0.996441,4.43749
A* Static,100,Easy,10,1.31186,0.00377494,0.994232,4.42266
Local,100,Easy,0,34.584,0,0.999386,4.59609
Local,100,Easy,1,34.584,0.112898,0.999386,4.59609
Local,100,Easy,2,34.584,0.473957,0.999386,4.59401
Local,100,Easy,3,34.584,0.994817,0.999386,4.59315
Local,100,Easy,4,34.584,0.942257,0.999386,4.5902
Local,100,Easy,5,34.584,1.25933,0.999509,4.58976
Local,100,Easy,10,34.584,3.32,0.999141,4.58113
Hierarchy,100,Easy,0,49.3802,0,0.999755,4.57046
Hierarchy,100,Easy,1,49.3802,0.32582,0.999755,4.56887
Hierarchy,100,Easy,2,49.3802,0.954965,0.999755,4.56641
Hierarchy,100,Easy,3,49.3802,1.88294,0.999755,4.55696
Hierarchy,100,Easy,4,49.3802,2.41632,0.999755,4.55266
Hierarchy,100,Easy,5,49.3802,2.41949,0.999755,4.54211
Hierarchy,100,Easy,10,49.3802,7.50748,0.999755,4.52603
A* Oracle,100,Medium,0,0.950204,0,0.999165,4.5825
A* Oracle,100,Medium,1,0.950204,0.93885,0.999165,4.5825
A* Oracle,100,Medium,2,0.950204,0.940278,0.999165,4.5825
A* Oracle,100,Medium,3,0.950204,0.948865,0.999165,4.58319
A* Oracle,100,Medium,4,0.950204,0.946564,0.999165,4.5825
A* Oracle,100,Medium,5,0.950204,0.938979,0.999165,4.58473
A* Oracle,100,Medium,10,0.950204,0.938384,0.999165,4.58863
A* Static,100,Medium,0,0.938704,0,0.999165,4.5825
A* Static,100,Medium,1,0.938704,0.00319498,0.998886,4.58196
A* Static,100,Medium,2,0.938704,0.00319095,0.995405,4.57141
A* Static,100,Medium,3,0.938704,0.0030911,0.997911,4.57876
A* Static,100,Medium,4,0.938704,0.00320593,0.998051,4.58203
A* Static,100,Medium,5,0.938704,0.0031007,0.995127,4.57633
A* Static,100,Medium,10,0.938704,0.00305048,0.991507,4.56944
Local,100,Medium,0,34.1055,0,0.997633,4.73831
Local,100,Medium,1,34.1055,0.251052,0.997633,4.73789
Local,100,Medium,2,34.1055,0.472685,0.997633,4.73761
Local,100,Medium,3,34.1055,0.879892,0.997633,4.73343
Local,100,Medium,4,34.1055,0.759351,0.997633,4.72617
Local,100,Medium,5,34.1055,1.33059,0.997911,4.72541
Local,100,Medium,10,34.1055,4.15872,0.997911,4.71759
Hierarchy,100,Medium,0,44.3868,0,0.998886,4.76011
Hierarchy,100,Medium,1,44.3868,0.33574,0.998886,4.75843
Hierarchy,100,Medium,2,44.3868,1.1046,0.998886,4.7523
Hierarchy,100,Medium,3,44.3868,1.27602,0.998886,4.74352
Hierarchy,100,Medium,4,44.3868,2.34613,0.998886,4.72038
Hierarchy,100,Medium,5,44.3868,3.20673,0.998886,4.69139
Hierarchy,100,Medium,10,44.3868,7.54778,0.998886,4.68693
A* Oracle,100,Hard,0,1.27111,0,0.998667,7.34713
A* Oracle,100,Hard,1,1.27111,1.26331,0.998667,7.34162
A* Oracle,100,Hard,2,1.27111,1.2677,0.998667,7.34746
A* Oracle,100,Hard,3,1.27111,1.26409,0.9985,7.34869
A* Oracle,100,Hard,4,1.27111,1.26703,0.998667,7.35581
A* Oracle,100,Hard,5,1.27111,1.26644,0.998667,7.34479
A* Oracle,100,Hard,10,1.27111,1.26524,0.998667,7.34746
A* Static,100,Hard,0,1.30877,0,0.998667,7.34713
A* Static,100,Hard,1,1.30877,0.00252062,0.9985,7.34585
A* Static,100,Hard,2,1.30877,0.00259642,0.995333,7.35013
A* Static,100,Hard,3,1.30877,0.00253039,0.997333,7.34308
A* Static,100,Hard,4,1.30877,0.00260639,0.983833,7.30425
A* Static,100,Hard,5,1.30877,0.00256825,0.994333,7.32786
A* Static,100,Hard,10,1.30877,0.00257349,0.991667,7.36387
Local,100,Hard,0,57.413,0,0.960333,7.21711
Local,100,Hard,1,57.413,0.250005,0.960333,7.21173
Local,100,Hard,2,57.413,0.138493,0.9605,7.21638
Local,100,Hard,3,57.413,1.02252,0.9605,7.21742
Local,100,Hard,4,57.413,2.02876,0.960667,7.22797
Local,100,Hard,5,57.413,1.92408,0.96,7.21875
Local,100,Hard,10,57.413,2.23743,0.959167,7.21077
Hierarchy,100,Hard,0,76.646,0,0.976333,7.3042
Hierarchy,100,Hard,1,76.646,0.481704,0.976333,7.30079
Hierarchy,100,Hard,2,76.646,0.666749,0.976333,7.29498
Hierarchy,100,Hard,3,76.646,2.446,0.976333,7.27262
Hierarchy,100,Hard,4,76.646,4.1719,0.977333,7.2645
Hierarchy,100,Hard,5,76.646,3.91023,0.973667,7.22441
Hierarchy,100,Hard,10,76.646,5.12689,0.973667,7.22099
A* Oracle,200,Easy,0,5.46523,0,1,4.43207
A* Oracle,200,Easy,1,5.46523,5.47274,1,4.43204
A* Oracle,200,Easy,2,5.46523,5.46002,1,4.4321
A* Oracle,200,Easy,3,5.46523,5.46163,1,4.43204
A* Oracle,200,Easy,4,5.46523,5.45975,1,4.43192
A* Oracle,200,Easy,5,5.46523,5.45834,1,4.43195
A* Oracle,200,Easy,10,5.46523,5.45596,1,4.43222
A* Static,200,Easy,0,5.46151,0,1,4.43207
A* Static,200,Easy,1,5.46151,0.0278979,0.999969,4.43214
A* Static,200,Easy,2,5.46151,0.0279255,0.999846,4.43174
A* Static,200,Easy,3,5.46151,0.0277078,0.999754,4.43242
A* Static,200,Easy,4,5.46151,0.0279538,0.999785,4.43182
A* Static,200,Easy,5,5.46151,0.027808,0.999292,4.43102
A* Static,200,Easy,10,5.46151,0.0279386,0.997662,4.43037
Local,200,Easy,0,140.836,0,0.996739,4.56457
Local,200,Easy,1,140.836,0.192389,0.996739,4.56448
Local,200,Easy,2,140.836,0.431228,0.996739,4.56395
Local,200,Easy,3,140.836,0.47044,0.996739,4.56442
Local,200,Easy,4,140.836,1.52024,0.996739,4.56386
Local,200,Easy,5,140.836,1.25528,0.99677,4.56233
Local,200,Easy,10,140.836,2.61932,0.9968,4.56043
Hierarchy,200,Easy,0,183.028,0,0.997262,4.55434
Hierarchy,200,Easy,1,183.028,0.589844,0.997262,4.55416
Hierarchy,200,Easy,2,183.028,0.884266,0.997262,4.55329
Hierarchy,200,Easy,3,183.028,1.47693,0.997262,4.55107
Hierarchy,200,Easy,4,183.028,3.41908,0.997262,4.54805
Hierarchy,200,Easy,5,183.028,2.79135,0.997262,4.54694
Hierarchy,200,Easy,10,183.028,6.20838,0.997262,4.54049
A* Oracle,200,Medium,0,3.81552,0,0.99972,4.54819
A* Oracle,200,Medium,1,3.81552,3.81152,0.99972,4.54819
A* Oracle,200,Medium,2,3.81552,3.81036,0.99972,4.54791
A* Oracle,200,Medium,3,3.81552,3.81269,0.99972,4.5484
A* Oracle,200,Medium,4,3.81552,3.81927,0.99972,4.54826
A* Oracle,200,Medium,5,3.81552,3.8261,0.99972,4.54815
