Approach,Size,Difficulty,Changes,InitialTime,AdaptTime,SuccessRate,AvgPathLength
Hierarchy,300,Medium,5,348.152,10.0605,0.9992,4.86169
Hierarchy,300,Medium,10,348.152,19.6071,0.9987,4.83529
Hierarchy,300,Medium,20,348.152,31.8884,0.9988,4.81027
Hierarchy,300,Medium,50,348.152,70.3495,0.999,4.81632
A*,300,Hard,0,19.8799,0,0.9984,6.89163
A*,300,Hard,1,19.8799,19.8573,0.9979,6.95982
A*,300,Hard,5,19.8799,20.0523,0.9988,6.95114
A*,300,Hard,10,19.8799,20.0548,0.9984,6.97596
A*,300,Hard,20,19.8799,19.8967,0.9983,6.92577
A*,300,Hard,50,19.8799,19.9272,0.9983,6.94781
Local,300,Hard,0,401.622,0,0.9857,7.20615
Local,300,Hard,1,401.622,1.14065,0.9869,7.14429
Local,300,Hard,5,401.622,6.96065,0.9885,7.0783
Local,300,Hard,10,401.622,8.53276,0.9867,7.03304
Local,300,Hard,20,401.622,22.1169,0.9871,7.07487
Local,300,Hard,50,401.622,44.0369,0.9875,7.06461
Hierarchy,300,Hard,0,510.072,0,0.9888,6.94751
Hierarchy,300,Hard,1,510.072,3.09659,0.9908,6.99142
Hierarchy,300,Hard,5,510.072,14.3773,0.9894,7.0286
Hierarchy,300,Hard,10,510.072,22.8476,0.9896,7.00182
Hierarchy,300,Hard,20,510.072,48.9187,0.9893,6.9722
Hierarchy,300,Hard,50,510.072,90.8335,0.9898,6.97424
